NACA 4415 (Lednicer)
   60.   62.

 -0.000443  0.005789
 0.000519  0.011721
 0.002895  0.017783
 0.006685  0.023959
 0.011888  0.030226
 0.018499  0.036555
 0.026507  0.042915
 0.035898  0.049266
 0.046652  0.055567
 0.058745  0.061776
 0.072148  0.067844
 0.086827  0.073724
 0.102743  0.079368
 0.119851  0.084727
 0.138101  0.089754
 0.157441  0.094404
 0.177810  0.098634
 0.199146  0.102405
 0.221382  0.105679
 0.244446  0.108426
 0.268265  0.110619
 0.292760  0.112235
 0.317854  0.113258
 0.343463  0.113676
 0.369507  0.113482
 0.395900  0.112676
 0.422128  0.111332
 0.448477  0.109583
 0.474949  0.107449
 0.501468  0.104949
 0.527959  0.102105
 0.554346  0.098940
 0.580554  0.095477
 0.606511  0.091745
 0.632143  0.087769
 0.657380  0.083579
 0.682154  0.079205
 0.706395  0.074675
 0.730040  0.070022
 0.753025  0.065277
 0.775288  0.060472
 0.796771  0.055641
 0.817417  0.050816
 0.837174  0.046031
 0.855990  0.041319
 0.873817  0.036714
 0.890611  0.032248
 0.906329  0.027956
 0.920932  0.023868
 0.934385  0.020016
 0.946654  0.016430
 0.957711  0.013138
 0.967528  0.010166
 0.976083  0.007538
 0.983356  0.005276
 0.989330  0.003398
 0.993990  0.001921
 0.997326  0.000857
 0.999331  0.000215
 1.000000  -0.000000

 -0.000443  0.005789
 0.000000  0.000000
 0.001814  -0.005516
 0.004959  -0.010629
 0.009417  -0.015339
 0.015168  -0.019648
 0.022186  -0.023556
 0.030445  -0.027066
 0.039913  -0.030182
 0.050557  -0.032909
 0.062341  -0.035254
 0.075229  -0.037224
 0.089181  -0.038831
 0.104156  -0.040087
 0.120111  -0.041005
 0.137004  -0.041603
 0.154792  -0.041899
 0.173429  -0.041915
 0.192869  -0.041674
 0.213068  -0.041202
 0.233979  -0.040526
 0.255554  -0.039676
 0.277745  -0.038683
 0.300503  -0.037578
 0.323779  -0.036393
 0.347520  -0.035161
 0.371674  -0.033914
 0.396188  -0.032684
 0.421437  -0.031437
 0.446995  -0.030089
 0.472715  -0.028661
 0.498532  -0.027172
 0.524377  -0.025643
 0.550183  -0.024092
 0.575880  -0.022535
 0.601401  -0.020989
 0.626676  -0.019465
 0.651637  -0.017974
 0.676214  -0.016525
 0.700341  -0.015127
 0.723950  -0.013783
 0.746975  -0.012499
 0.769351  -0.011277
 0.791015  -0.010119
 0.811903  -0.009026
 0.831957  -0.007997
 0.851117  -0.007032
 0.869327  -0.006132
 0.886535  -0.005294
 0.902688  -0.004518
 0.917739  -0.003804
 0.931641  -0.003150
 0.944352  -0.002558
 0.955835  -0.002026
 0.966052  -0.001555
 0.974973  -0.001145
 0.982570  -0.000797
 0.988818  -0.000511
 0.993698  -0.000288
 0.997196  -0.000128
 0.999298  -0.000032
 1.000000  0.000000
